Type:,Filename:,Part:,Our Vals:,Notes:,Discrepancy Type:,Discrepancy Notes:,Annotator:
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92,200,Gold parts: {'MMBTA93L': ['200']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29C,60,Gold parts: {'TIP30': ['40']}
FP,BC546-D,BC548BG,65,Gold parts: {'BC548C': ['30']}
FP,BC546-D,BC546BRL1,45,Gold parts: {'BC548C': ['30']}
FP,BC546-D,BC548CZL1G,65,Gold parts: {'BC548C': ['30']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30A,220,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29B,60,Gold parts: {'TIP30': ['40']}
FP,SANKEN_STD01N,STD01,30,Gold parts: {'STD01P': ['150']}
FP,BC546-D,BC546BRL1G,30,Gold parts: {'BC548C': ['30']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29C-BP-HF,80,Gold parts: {'TIP30': ['40']}
FP,ONSEMICONDUCTOR_BUL45D2,BUL45D2G,100,Gold vals: ['400']
FP,DIODESINCORPORATED_FCX555TA,AP02001,150,Gold parts: {'FCX555': ['150']}
FP,MICROSEMICORPORATION_2N2484UB,2N2484,60,Gold parts: {'2N2484UA': ['60']}
FP,BC546-D,BC546B,30,Gold parts: {'BC548C': ['30']}
FP,DIODESINCORPORATED_ZTX776,ZTX755,200,Gold parts: {'ZTX776': ['200']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30,220,Gold vals: ['40']
FP,ONSEMICONDUCTOR_MMBTA06WT1G,MMBTA06WT1,80,Gold parts: {'SMMBTA06W': ['80']}
FP,DIODS13249-1,BC817,25,Gold parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC817-40,25,Gold parts: {'BC817-16': ['45']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29B,220,Gold parts: {'TIP30': ['40']}
FP,BC546-D,BC548BRL1G,45,Gold parts: {'BC548C': ['30']}
FP,BC546-D,BC547ARL,65,Gold parts: {'BC548C': ['30']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29B-BP,60,Gold parts: {'TIP30': ['40']}
FP,CSEMS05382-1,BC546A,45,Gold parts: {'BC547C': ['45']}
FP,DIODESINCORPORATED_FCX558TA,AP02002,400,Gold parts: {'FCX558TA': ['400']}
FP,DIODESINCORPORATED_FCX491ATA,AP02002,40,Gold parts: {'FCX491ATA': ['40']}
FP,DIODS13249-1,BC808,25,Gold parts: {'BC817-16': ['45']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92LT1G,200,Gold parts: {'MMBTA93L': ['200']}
FP,CSEMS05382-1,BC547,30,Gold parts: {'BC547C': ['45']}
FP,CSEMS05382-1,BC547C,65,Gold vals: ['45']
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30B-BP,60,Gold parts: {'TIP30': ['40']}
FP,BC546-D,BC547ARLG,30,Gold parts: {'BC548C': ['30']}
FP,DIODESINCORPORATED_FZT651TC,FZT751,60,Gold parts: {'FZT651TC': ['60']}
FP,BC546-D,BC547AZL1G,65,Gold parts: {'BC548C': ['30']}
FP,DIODS13249-1,BC818,45,Gold parts: {'BC817-16': ['45']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29,220,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30,60,Gold vals: ['40']
FP,BC546-D,BC548B,65,Gold parts: {'BC548C': ['30']}
FP,DIODESINCORPORATED_FCX690BTA,FCX790A,45,Gold parts: {'FCX690B-13R': ['45']}
FP,CSEMS05382-1,BC547,65,Gold parts: {'BC547C': ['45']}
FP,CSEMS05382-1,BC547B,65,Gold parts: {'BC547C': ['45']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30C,80,Gold parts: {'TIP30': ['40']}
FP,CSEMS05382-1,BC548B,45,Gold parts: {'BC547C': ['45']}
FP,BC546-D,BC547BRL1G,65,Gold parts: {'BC548C': ['30']}
FP,BC546-D,BC548,45,Gold parts: {'BC548C': ['30']}
FP,DIODESINCORPORATED_FCX491ATA,AP02001,40,Gold parts: {'FCX491ATA': ['40']}
FP,BC546-D,BC547ARLG,65,Gold parts: {'BC548C': ['30']}
FP,BC546-D,BC547BZL1G,65,Gold parts: {'BC548C': ['30']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30A-BP-HF,100,Gold parts: {'TIP30': ['40']}
FP,BC546-D,BC546BG,30,Gold parts: {'BC548C': ['30']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29A-BP,80,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29A-BP-HF,100,Gold parts: {'TIP30': ['40']}
FP,ONSEMICONDUCTOR_MJE18004D2G,MJE210,450,Gold parts: {'MJE18004D2G': ['450']}
FP,CSEMS05382-1,BC548C,65,Gold parts: {'BC547C': ['45']}
FP,DIODESINCORPORATED_ZXTN19100CGTA,AP02002,100,Gold parts: {'ZXTN19100CGTA': ['100']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA93LT1,200,Gold parts: {'MMBTA93L': ['200']}
FP,BC546-D,BC546BRL1,30,Gold parts: {'BC548C': ['30']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29B-BP-HF,60,Gold parts: {'TIP30': ['40']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,SMMBTA92LT3G,200,Gold parts: {'MMBTA93L': ['200']}
FP,BC546-D,BC546,45,Gold parts: {'BC548C': ['30']}
FP,BC546-D,BC547BRL1G,30,Gold parts: {'BC548C': ['30']}
FP,BC546-D,BC548CG,65,Gold parts: {'BC548C': ['30']}
FP,ONSEMICONDUCTOR_BUL45D2,BUL45D2,100,Gold parts: {'BUL45D2G': ['400']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92LT1,200,Gold parts: {'MMBTA93L': ['200']}
FP,SANKEN_2SC5100,2SC510,120,Gold parts: {'2SC5100': ['120']}
FP,DIODS13249-1,BC817-25,25,Gold parts: {'BC817-16': ['45']}
FP,CSEMS05382-1,BC546,45,Gold parts: {'BC547C': ['45']}
FP,SANKEN_STD01N,STD01P,30,Gold vals: ['150']
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30B,60,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29,60,Gold parts: {'TIP30': ['40']}
FP,ONSEMICONDUCTOR_NSS20600CF8T1G,NSS20600CF8,20,Gold parts: {'NSS20600CF8T1G': ['20']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29,80,Gold parts: {'TIP30': ['40']}
FP,STMICROELECTRONICS_2STF2550,2STN2550,50,Gold parts: {'2STF2550': ['50']}
FP,CSEMS05382-1,BC546-48ABC,45,Gold parts: {'BC547C': ['45']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29A-BP-HF,220,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30C-BP-HF,220,Gold parts: {'TIP30': ['40']}
FP,DIODS13249-1,BC818-16,45,Gold parts: {'BC817-16': ['45']}
FP,BC546-D,BC547AZL1G,30,Gold parts: {'BC548C': ['30']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29A,100,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29C-BP-HF,220,Gold parts: {'TIP30': ['40']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,SMMBTA92LT1G,200,Gold parts: {'MMBTA93L': ['200']}
FP,BC546-D,BC548C,45,Gold vals: ['30']
FP,ONSEMICONDUCTOR_MJE18004D2G,MJE18004D2,100,Gold parts: {'MJE18004D2G': ['450']}
FP,CSEMS05382-1,BC548A,45,Gold parts: {'BC547C': ['45']}
FP,CSEMS05382-1,BC547B,30,Gold parts: {'BC547C': ['45']}
FP,DIODESINCORPORATED_DXT790AP513,AP02002,40,Gold parts: {'DXT790AP5': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30B-BP-HF,60,Gold parts: {'TIP30': ['40']}
FP,CSEMS03485-1,2N3903,40,Gold parts: {'2N3905': ['40']}
FP,CSEMS05382-1,BC548,45,Gold parts: {'BC547C': ['45']}
FP,ONSEMICONDUCTOR_MJE18004D2G,MJE210,100,Gold parts: {'MJE18004D2G': ['450']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92LT1,300,Gold parts: {'MMBTA93L': ['200']}
FP,DIODESINCORPORATED_FCX555TA,AP02002,150,Gold parts: {'FCX555': ['150']}
FP,CSEMS05382-1,BC546B,45,Gold parts: {'BC547C': ['45']}
FP,NXPUSAINC_PN2222A116,PN2907A,40,Gold parts: {'PN2222A-AP': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29C,220,Gold parts: {'TIP30': ['40']}
FP,DIODS13249-1,BC81840,25,Gold parts: {'BC817-16': ['45']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29B,100,Gold parts: {'TIP30': ['40']}
FP,BC546-D,BC547BZL1G,30,Gold parts: {'BC548C': ['30']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA93LT1,300,Gold parts: {'MMBTA93L': ['200']}
FP,DIODESINCORPORATED_FZT758TC,FZT658,400,Gold parts: {'FZT758': ['400']}
FP,DIODESINCORPORATED_2DA1213Y13,AP02001,50,Gold parts: {'2DA1213Y-13R': ['50']}
FP,BC546-D,BC546BZL1G,30,Gold parts: {'BC548C': ['30']}
FP,BC546-D,BC548BG,45,Gold parts: {'BC548C': ['30']}
FP,BC546-D,BC548CZL1G,45,Gold parts: {'BC548C': ['30']}
FP,SANKEN_STD01N,STD01PARE,30,Gold parts: {'STD01P': ['150']}
FP,DIODESINCORPORATED_ZXTP23140BFHTA,ZXTP23140BFHTA,140,Gold vals: ['160']
FP,BC546-D,BC547,65,Gold parts: {'BC548C': ['30']}
FP,BC546-D,BC546BG,45,Gold parts: {'BC548C': ['30']}
FP,DIODESINCORPORATED_FZT758TC,AP02002,400,Gold parts: {'FZT758': ['400']}
FP,DIODESINCORPORATED_ZXTN19100CGTA,ZXTN19100C,100,Gold parts: {'ZXTN19100CGTA': ['100']}
FP,BC546-D,BC548BZL1G,65,Gold parts: {'BC548C': ['30']}
FP,DIODESINCORPORATED_ZTX603STZ,ZTX603,60,Gold parts: {'ZTX602': ['60']}
FP,DIODESINCORPORATED_ZXTP23140BFHTA,ZXTP23140BFH,140,Gold parts: {'ZXTP23140BFHTA': ['160']}
FP,DIODS13249-1,BC807,45,Gold parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC808,45,Gold parts: {'BC817-16': ['45']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29C-BP,220,Gold parts: {'TIP30': ['40']}
FP,DIODESINCORPORATED_FCX558TA,FCX458,400,Gold parts: {'FCX558TA': ['400']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30C,220,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30A-BP-HF,220,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30B-BP,100,Gold parts: {'TIP30': ['40']}
FP,BC546-D,BC548BRL1G,65,Gold parts: {'BC548C': ['30']}
FP,BC546-D,BC546BRL1G,45,Gold parts: {'BC548C': ['30']}
FP,DIODESINCORPORATED_FCX495TC,AP02001,150,Gold parts: {'FCX495': ['150']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29A,220,Gold parts: {'TIP30': ['40']}
FP,BC546-D,BC546B,45,Gold parts: {'BC548C': ['30']}
FP,CSEMS05382-1,BC548C,45,Gold parts: {'BC547C': ['45']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92,300,Gold parts: {'MMBTA93L': ['200']}
FP,CSEMS05382-1,BC546A,30,Gold parts: {'BC547C': ['45']}
FP,DIODESINCORPORATED_FCX555TA,FCX495,150,Gold parts: {'FCX555': ['150']}
FP,CSEMS05382-1,BC547A,65,Gold parts: {'BC547C': ['45']}
FP,DIODESINCORPORATED_FZT758TC,AP02001,400,Gold parts: {'FZT758': ['400']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30A-BP,80,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30C-BP-HF,80,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30C-BP,60,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29C,80,Gold parts: {'TIP30': ['40']}
FP,BC546-D,BC547B,30,Gold parts: {'BC548C': ['30']}
FP,DIODESINCORPORATED_FMMT597TC,AP02002,300,Gold parts: {'FMMT597TA': ['300']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92L,200,Gold parts: {'MMBTA93L': ['200']}
FP,ONSEMICONDUCTOR_MMBT6521LT1,MPS6521,25,Gold parts: {'SMMBT6521LT1G': ['25']}
FP,BC546-D,BC547BG,65,Gold parts: {'BC548C': ['30']}
FP,DIODESINCORPORATED_FZT651TC,AP02001,60,Gold parts: {'FZT651TC': ['60']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30A,100,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29A-BP-HF,80,Gold parts: {'TIP30': ['40']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA92LT3G,200,Gold parts: {'MMBTA93L': ['200']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA93,300,Gold parts: {'MMBTA93L': ['200']}
FP,DIODESINCORPORATED_FCX558TA,AP02001,400,Gold parts: {'FCX558TA': ['400']}
FP,BC546-D,BC547A,30,Gold parts: {'BC548C': ['30']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29C-BP,60,Gold parts: {'TIP30': ['40']}
FP,DIODESINCORPORATED_FMMT634QTA,AP02002,100,Gold parts: {'FMMT634QTA': ['100']}
FP,SANKEN_STD01N,STD01N,30,Gold parts: {'STD01P': ['150']}
FP,DIODS13249-1,BC818-25,45,Gold parts: {'BC817-16': ['45']}
FP,ONSEMICONDUCTOR_MJE18004D2G,MJE18004D2,450,Gold parts: {'MJE18004D2G': ['450']}
FP,CSEMS05382-1,BC547A,30,Gold parts: {'BC547C': ['45']}
FP,SANKEN_2SC5100,2SA1908,120,Gold parts: {'2SC5100': ['120']}
FP,SANKEN_STD01N,STD01,150,Gold parts: {'STD01P': ['150']}
FP,BC546-D,BC547,30,Gold parts: {'BC548C': ['30']}
FP,BC546-D,BC547BG,30,Gold parts: {'BC548C': ['30']}
FP,CSEMS05382-1,BC548A,65,Gold parts: {'BC547C': ['45']}
FP,STMICROELECTRONICS_BC14116,BC161-16,60,Gold parts: {'BC141-16': ['60']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29B-BP-HF,100,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30A,80,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30C-BP,220,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30,100,Gold vals: ['40']
FP,BC546-D,BC546BZL1G,45,Gold parts: {'BC548C': ['30']}
FP,BC546-D,BC547B,65,Gold parts: {'BC548C': ['30']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30B,100,Gold parts: {'TIP30': ['40']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29B-BP,100,Gold parts: {'TIP30': ['40']}
FP,CSEMS05382-1,BC548,65,Gold parts: {'BC547C': ['45']}
FP,BC546-D,BC548B,45,Gold parts: {'BC548C': ['30']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29A,80,Gold parts: {'TIP30': ['40']}
FP,SANKEN_2SD2082,2SB1382,120,Gold parts: {'2SD2082': ['120']}
FP,DIODESINCORPORATED_FMMT634QTA,AP02001,100,Gold parts: {'FMMT634QTA': ['100']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29,100,Gold parts: {'TIP30': ['40']}
FP,BC546-D,BC547CG,65,Gold parts: {'BC548C': ['30']}
FP,BC546-D,BC548CG,45,Gold parts: {'BC548C': ['30']}
FP,DIODS13249-1,BC807,25,Gold parts: {'BC817-16': ['45']}
FP,BC546-D,BC546,30,Gold parts: {'BC548C': ['30']}
FP,DIODESINCORPORATED_FMMT634QTA,CU100M,100,Gold parts: {'FMMT634QTA': ['100']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30B-BP-HF,220,Gold parts: {'TIP30': ['40']}
FP,DIODESINCORPORATED_DXT790AP513,AP02001,40,Gold parts: {'DXT790AP5': ['40']}
FP,DIODS13249-1,BC81840,45,Gold parts: {'BC817-16': ['45']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30A-BP,100,Gold parts: {'TIP30': ['40']}
FP,CSEMS05382-1,BC546-48ABC,30,Gold parts: {'BC547C': ['45']}
FP,SANKEN_2SD2083,2SB1383,120,Gold parts: {'2SD2083': ['120']}
FP,BC546-D,BC548C,65,Gold vals: ['30']
FP,DIODESINCORPORATED_FCX690BTA,AP02002,45,Gold parts: {'FCX690B-13R': ['45']}
FP,DIODESINCORPORATED_FCX491ATA,FCX591A,40,Gold parts: {'FCX491ATA': ['40']}
FP,CSEMS05382-1,BC546,30,Gold parts: {'BC547C': ['45']}
FP,ONSEMICONDUCTOR_BUL45D2,BUL45D2,400,Gold parts: {'BUL45D2G': ['400']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29A-BP,100,Gold parts: {'TIP30': ['40']}
FP,BC546-D,BC547CG,30,Gold parts: {'BC548C': ['30']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30A-BP-HF,80,Gold parts: {'TIP30': ['40']}
FP,ONSEMICONDUCTOR_MMBTA92LT1G,MMBTA93,200,Gold parts: {'MMBTA93L': ['200']}
FP,DIODESINCORPORATED_FZT651TC,AP02002,60,Gold parts: {'FZT651TC': ['60']}
FP,BC546-D,BC547A,65,Gold parts: {'BC548C': ['30']}
FP,DIODESINCORPORATED_ZXTN19100CGTA,AP02001,100,Gold parts: {'ZXTN19100CGTA': ['100']}
FP,DIODESINCORPORATED_FMMT597TC,AP02001,300,Gold parts: {'FMMT597TA': ['300']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29C-BP,80,Gold parts: {'TIP30': ['40']}
FP,ONSEMICONDUCTOR_BUL45D2,MJE210,400,Gold parts: {'BUL45D2G': ['400']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP30,80,Gold vals: ['40']
FP,SANKEN_STD01N,STD01PARE,150,Gold parts: {'STD01P': ['150']}
FN,DIODESINCORPORATED_ZTX696BSTZ,ZTX696B,1,Entity vals: ['180']
FN,ONSEMICONDUCTOR_NSV12100UW3TCG,NSV12100UW3TCG,75,Entities do not have doc ONSEMICONDUCTOR_NSV12100UW3TCG.
FN,ONSEMICONDUCTOR_BUL45D2,BUL45D2G,20,"Entity parts: {'MJE210': ['100', '400']}"
FN,TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV,2N222AUA,NPN,Entities do not have doc TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV.
FN,DIODESINCORPORATED_DXT790AP513,DXT790AP5,0.74,Entity parts: {'AP02002': ['40']}
FN,DIODESINCORPORATED_DXT790AP513,DXT790AP5,3.2,Entity parts: {'AP02002': ['40']}
FN,DIODESINCORPORATED_ZTX603STZ,ZTX603,10,"Entity parts: {'ZTX602': ['60', '80']}"
FN,ONSEMICONDUCTOR_MJW3281A,MJW3281AG,-65,Entity vals: ['230']
FN,CSEMS05382-1,BC548A,-65,"Entity parts: {'BC546A': ['45', '65', '30']}"
FN,DIODESINCORPORATED_ZXTP718MATA,ZXTP718MATC,1.5,Entity vals: ['20']
FN,ONSEMICONDUCTOR_MMBTA06WT1G,MMBTA06W,150,Entity parts: {'MMBTA06WT1': ['80']}
FN,CENTRALSEMICONDUCTORCORP_CENU45,CEN-U45,-65,Entity vals: ['40']
FN,TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV,2N2222AUA,-65,Entities do not have doc TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV.
FN,MICROCOMMERCIALCO_MPSA92AP,MPSA92-AP,N,Entity parts: {'MPSA92-BP': ['300']}
FN,DIODESINCORPORATED_ZXTP718MATA,ZXTP718MA,25,Entity parts: {'ZXTP718MATC': ['20']}
FN,DIODESINCORPORATED_ZXTP23140BFHTA,ZXTP23140BFHTA,-55,Entity parts: {'ZXTP23140BFH': ['140']}
FN,DIODESINCORPORATED_ZXT690BKTC,ZXT690BKTC,60,Entities do not have doc DIODESINCORPORATED_ZXT690BKTC.
FN,DIODESINCORPORATED_ZXTP718MATA,ZXTP718MATA,12,Entity parts: {'ZXTP718MATC': ['20']}
FN,BC546-D,BC546BRL1G,NPN,"Entity parts: {'BC548C': ['30', '45', '65']}"
FN,ONSEMICONDUCTOR_MMBTA06WT1G,SMMBTA06WT1G,500,Entity parts: {'MMBTA06WT1': ['80']}
FN,MICROCOMMERCIALCO_TIP29ABP,TIP29B,1.0,"Entity parts: {'TIP30': ['40', '60', '80', '220', '100']}"
FN,DIODESINCORPORATED_FCX491ATA,FCX491ATA,7,Entity vals: ['40']
FN,MICROCOMMERCIALCO_2N3904AP,2N3904-AP,N,Entities do not have doc MICROCOMMERCIALCO_2N3904AP.
FN,ONSEMICONDUCTOR_MPSA12,MPSA12RLRA,N,Entities do not have doc ONSEMICONDUCTOR_MPSA12.
FN,ONSEMICONDUCTOR_2N3442G,2N3442G,NPN,Entity vals: ['140']
FN,MICROSEMICORPORATION_2N2484UB,2N2484UB,45,Entity parts: {'2N2484UA': ['60']}
FN,CENTRALSEMICONDUCTORCORP_MPSA64,MPSA65,PNP,Entities do not have doc CENTRALSEMICONDUCTORCORP_MPSA64.
FN,DIODESINCORPORATED_DXT790AP513,DXT790AP5,-55,Entity parts: {'AP02002': ['40']}
FN,DIODESINCORPORATED_ZXTP718MATA,ZXTP718MA,4.0,Entity parts: {'ZXTP718MATC': ['20']}
FN,BC546-D,BC547ARL,NPN,"Entity parts: {'BC548C': ['30', '45', '65']}"
FN,DIODESINCORPORATED_FCX558TA,FCX558,1.0,Entity parts: {'AP02002': ['400']}
FN,DIODESINCORPORATED_FCX705TA,FCX705,10,Entity vals: ['120']
FN,DIODESINCORPORATED_ZTX603STZ,ZTX603,5000,"Entity parts: {'ZTX602': ['60', '80']}"
FN,DIODESINCORPORATED_ZXTN19100CGTA,ZXTN19100CG,24,Entity parts: {'ZXTN19100C': ['100']}
FN,TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV,2N2222AUATX,1.16,Entities do not have doc TTELECTRONICSOPTEKTECHNOLOGY_2N2222AUATXV.
FN,DIODESINCORPORATED_2DD26527,2DD2652-7,6,Entities do not have doc DIODESINCORPORATED_2DD26527.
FN,MICROCOMMERCIALCO_TIP29ABP,TIP29A-BP-HF,NPN,"Entity parts: {'TIP30': ['40', '60', '80', '220', '100']}"
FN,ONSEMICONDUCTOR_MMBTA92LT1G,SMMBTA92LT1G,225,"Entity parts: {'MMBTA93L': ['200', '300']}"
FN,DIODESINCORPORATED_ZTX603STZ,ZTX602,5000,"Entity vals: ['60', '80']"
FN,DIODESINCORPORATED_ZXTN19100CGTA,ZXTN19100CGTA,150,Entity parts: {'ZXTN19100C': ['100']}
FN,DIODS13249-1,BC818-25,30,"Entity parts: {'BC817-16': ['25', '45']}"
FN,ONSEMICONDUCTOR_MJW3281A,MJW3281A,-65,Entity parts: {'MJW3281AG': ['230']}
FN,ONSEMICONDUCTOR_BC489G,BC489G,-55,Entity parts: {'BC489RL1G': ['80']}
FN,DIODESINCORPORATED_FCX491ATA,FCX491A,200,Entity parts: {'FCX491ATA': ['40']}
FN,DIODESINCORPORATED_ZXTP26020DMFTA,ZXTP26020DMFTA,N,Entity parts: {'ZXTP26020DMF': ['20']}
