Type:,Filename:,Our Vals:,Notes:,Discrepancy Type:,Discrepancy Notes:,Annotator:
FN,ANALOGDEVICES_ADA4084-2ARZ,625 uA,"Probs vals: [Quantity('14.9 mA'), Quantity('15.9 mA'), Quantity('2.6 mA'), Quantity('50 mA'), Quantity('14.7 mA'), Quantity('14.8 mA'), Quantity('4.7 mA'), Quantity('100 mA'), Quantity('105 mA'), Quantity('86 mA'), Quantity('9.9 mA'), Quantity('9.6 mA'), Quantity('4.95 mA'), Quantity('1 mA'), Quantity('4.8 mA'), Quantity('8.08 mA'), Quantity('30 mA'), Quantity('40 mA'), Quantity('120 mA'), Quantity('4.6 mA'), Quantity('24 mA'), Quantity('2 mA'), Quantity('20 mA'), Quantity('2.4 mA'), Quantity('17 mA'), Quantity('60 mA'), Quantity('3.7 mA'), Quantity('85 mA'), Quantity('15.4 mA'), Quantity('100 uA'), Quantity('90 mA'), Quantity('110 mA')]",Probs missing value.,,Bot
FN,ANALOGDEVICES_ADA4084-2ARZ,565 uA,"Probs vals: [Quantity('14.9 mA'), Quantity('15.9 mA'), Quantity('2.6 mA'), Quantity('50 mA'), Quantity('14.7 mA'), Quantity('14.8 mA'), Quantity('4.7 mA'), Quantity('100 mA'), Quantity('105 mA'), Quantity('86 mA'), Quantity('9.9 mA'), Quantity('9.6 mA'), Quantity('4.95 mA'), Quantity('1 mA'), Quantity('4.8 mA'), Quantity('8.08 mA'), Quantity('30 mA'), Quantity('40 mA'), Quantity('120 mA'), Quantity('4.6 mA'), Quantity('24 mA'), Quantity('2 mA'), Quantity('20 mA'), Quantity('2.4 mA'), Quantity('17 mA'), Quantity('60 mA'), Quantity('3.7 mA'), Quantity('85 mA'), Quantity('15.4 mA'), Quantity('100 uA'), Quantity('90 mA'), Quantity('110 mA')]",Probs missing value.,,Bot
FN,ANALOGDEVICES_ADA4084-2ARZ,595 uA,"Probs vals: [Quantity('14.9 mA'), Quantity('15.9 mA'), Quantity('2.6 mA'), Quantity('50 mA'), Quantity('14.7 mA'), Quantity('14.8 mA'), Quantity('4.7 mA'), Quantity('100 mA'), Quantity('105 mA'), Quantity('86 mA'), Quantity('9.9 mA'), Quantity('9.6 mA'), Quantity('4.95 mA'), Quantity('1 mA'), Quantity('4.8 mA'), Quantity('8.08 mA'), Quantity('30 mA'), Quantity('40 mA'), Quantity('120 mA'), Quantity('4.6 mA'), Quantity('24 mA'), Quantity('2 mA'), Quantity('20 mA'), Quantity('2.4 mA'), Quantity('17 mA'), Quantity('60 mA'), Quantity('3.7 mA'), Quantity('85 mA'), Quantity('15.4 mA'), Quantity('100 uA'), Quantity('90 mA'), Quantity('110 mA')]",Probs missing value.,,Bot
FP,ANALOGDEVICES_ADA4084-2ARZ,120 mA,"Gold vals: [Quantity('595 uA'), Quantity('625 uA'), Quantity('565 uA')]",Invalid value.,,Bot
FP,ANALOGDEVICES_ADA4084-2ARZ,110 mA,"Gold vals: [Quantity('595 uA'), Quantity('625 uA'), Quantity('565 uA')]",Invalid value.,,Bot
FP,ANALOGDEVICES_AD8544WARZ-R7,76 uA,"Gold vals: [Quantity('40 uA'), Quantity('38 uA'), Quantity('45 uA')]",Invalid value.,,Bot
FP,ANALOGDEVICES_AD8529ARZ-REEL,80 uA,Gold vals: [Quantity('600 uA')],Invalid value.,,Bot
FN,ANALOGDEVICES_AD548JRZ-REEL7,170 uA,Entities do not have doc ANALOGDEVICES_AD548JRZ-REEL7.,Missing doc.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LTC6268HS6TRMPBF,230 uA,"Probs vals: [Quantity('140 mA'), Quantity('90 uA'), Quantity('260 mA'), Quantity('620 uA'), Quantity('170 mA'), Quantity('750 nA'), Quantity('17.5 mA'), Quantity('80 mA'), Quantity('2 mA'), Quantity('16.5 mA'), Quantity('130 mA'), Quantity('10 mA'), Quantity('90 mA'), Quantity('9 mA'), Quantity('480 uA'), Quantity('710 uA'), Quantity('580 uA'), Quantity('200 mA'), Quantity('21 mA'), Quantity('160 mA'), Quantity('35 mA'), Quantity('23 mA'), Quantity('18 mA'), Quantity('370 mA'), Quantity('70 mA'), Quantity('16 mA'), Quantity('15 mA'), Quantity('1.5 uA'), Quantity('270 mA'), Quantity('50 mA'), Quantity('40 mA'), Quantity('14.5 mA'), Quantity('350 uA'), Quantity('60 mA')]",Probs missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LTC6268HS6TRMPBF,390 uA,"Probs vals: [Quantity('140 mA'), Quantity('90 uA'), Quantity('260 mA'), Quantity('620 uA'), Quantity('170 mA'), Quantity('750 nA'), Quantity('17.5 mA'), Quantity('80 mA'), Quantity('2 mA'), Quantity('16.5 mA'), Quantity('130 mA'), Quantity('10 mA'), Quantity('90 mA'), Quantity('9 mA'), Quantity('480 uA'), Quantity('710 uA'), Quantity('580 uA'), Quantity('200 mA'), Quantity('21 mA'), Quantity('160 mA'), Quantity('35 mA'), Quantity('23 mA'), Quantity('18 mA'), Quantity('370 mA'), Quantity('70 mA'), Quantity('16 mA'), Quantity('15 mA'), Quantity('1.5 uA'), Quantity('270 mA'), Quantity('50 mA'), Quantity('40 mA'), Quantity('14.5 mA'), Quantity('350 uA'), Quantity('60 mA')]",Probs missing value.,,Bot
FP,ANALOGDEVICESLINEARTECHNOLOGY_LTC6268HS6TRMPBF,14.5 mA,"Gold vals: [Quantity('16 mA'), Quantity('16.5 mA'), Quantity('230 uA'), Quantity('390 uA')]",Invalid value.,,Bot
FP,ANALOGDEVICESLINEARTECHNOLOGY_LTC6268HS6TRMPBF,15 mA,"Gold vals: [Quantity('16 mA'), Quantity('16.5 mA'), Quantity('230 uA'), Quantity('390 uA')]",Invalid value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LTC2064IMS8PBF,1.4 uA,Entities do not have doc ANALOGDEVICESLINEARTECHNOLOGY_LTC2064IMS8PBF.,Missing doc.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LTC2064IMS8PBF,1.3 uA,Entities do not have doc ANALOGDEVICESLINEARTECHNOLOGY_LTC2064IMS8PBF.,Missing doc.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1970AIFEPBF,3 mA,"Probs vals: [Quantity('1 mA'), Quantity('5 mA'), Quantity('800 uA'), Quantity('2.3 mA'), Quantity('600 uA'), Quantity('7 mA'), Quantity('80 mA'), Quantity('2.5 mA'), Quantity('1.9 mA'), Quantity('150 mA'), Quantity('500 nA'), Quantity('75 mA'), Quantity('20 mA'), Quantity('1.7 mA'), Quantity('120 mA'), Quantity('713 mA'), Quantity('37 mA'), Quantity('10 mA'), Quantity('45 mA'), Quantity('1.5 mA'), Quantity('40 mA'), Quantity('100 mA')]",Probs missing value.,,Bot
FP,ANALOGDEVICESLINEARTECHNOLOGY_LT1970AIFEPBF,600 uA,Gold vals: [Quantity('3 mA')],Invalid value.,,Bot
FP,ANALOGDEVICESLINEARTECHNOLOGY_LT1970AIFEPBF,713 mA,Gold vals: [Quantity('3 mA')],Invalid value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1464CS8TRPBF,150 uA,"Entity vals: [Quantity('145 uA'), Quantity('165 uA'), Quantity('200 uA'), Quantity('230 uA'), Quantity('135 uA'), Quantity('160 uA'), Quantity('220 uA')]",Missing value.,,Bot
FP,ANALOGDEVICESLINEARTECHNOLOGY_LT1464CS8TRPBF,200 uA,"Gold vals: [Quantity('145 uA'), Quantity('150 uA'), Quantity('165 uA'), Quantity('135 uA'), Quantity('160 uA')]",Invalid value.,,Bot
FP,ANALOGDEVICESLINEARTECHNOLOGY_LT1464CS8TRPBF,230 uA,"Gold vals: [Quantity('145 uA'), Quantity('150 uA'), Quantity('165 uA'), Quantity('135 uA'), Quantity('160 uA')]",Invalid value.,,Bot
FP,ANALOGDEVICESLINEARTECHNOLOGY_LT1464CS8TRPBF,220 uA,"Gold vals: [Quantity('145 uA'), Quantity('150 uA'), Quantity('165 uA'), Quantity('135 uA'), Quantity('160 uA')]",Invalid value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1351CN8PBF,10 uA,"Entity vals: [Quantity('220 uA'), Quantity('250 uA')]",Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1351CN8PBF,20 uA,"Entity vals: [Quantity('220 uA'), Quantity('250 uA')]",Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1351CN8PBF,30 uA,"Entity vals: [Quantity('220 uA'), Quantity('250 uA')]",Missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1122CCN8PBF,7 mA,"Probs vals: [Quantity('2 mA'), Quantity('7.5 mA'), Quantity('11 mA'), Quantity('82 mA'), Quantity('27 mA'), Quantity('23 mA'), Quantity('3.3 mA'), Quantity('24 mA'), Quantity('101 mA'), Quantity('7.8 mA'), Quantity('3 mA'), Quantity('14 mA'), Quantity('10 mA'), Quantity('103 mA'), Quantity('11.5 mA'), Quantity('12.5 mA'), Quantity('15 mA'), Quantity('12 mA'), Quantity('5 mA'), Quantity('25 mA'), Quantity('86 mA')]",Probs missing value.,,Bot
FN,ANALOGDEVICESLINEARTECHNOLOGY_LT1122CCN8PBF,7.5 mA,"Entity vals: [Quantity('7.8 mA'), Quantity('11 mA')]",Missing value.,,Bot
FP,ANALOGDEVICESLINEARTECHNOLOGY_LT1122CCN8PBF,11 mA,"Gold vals: [Quantity('7.8 mA'), Quantity('7 mA'), Quantity('7.5 mA')]",Invalid value.,,Bot
